"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1880136721624420640","Fri Jan 17 21:31:30 +0000 2025","283","@ARSIPAJA Makan bergizi gratis itu program yang baik.
Anak-anak mengekspresikan rasanya juga oke-oke aja.
Para ibu, guru, dokter, pakar gizi dan kuliner ikut beri saran pun bagus. Karena MBG ini program publik yang memang butuh perbaikan dalam perjalanannya.
Gak usah ada yang marah-marah.","1880367365558530336","","ARSIPAJA","in","","3","26","48","https://x.com/dr_koko28/status/1880367365558530336","1052703629528854530","dr_koko28"
"1876476468458561798","Tue Jan 07 03:50:27 +0000 2025","235","Badan Gizi Izinkan Masyarakat Foto Menu Makan Bergizi Gratis
https://t.co/1mypzIXsCZ","1876476468458561798","","","in","","11","17","58","https://x.com/CNNIndonesia/status/1876476468458561798","17128975","CNNIndonesia"
"1884206053430288574","Tue Jan 28 11:45:07 +0000 2025","1683","4. Makan Bergizi Gratis bentuknya standarisasi kantin. Uangnya bentuk voucher dibelanjakan di kantin sekolah pada warung pilihan yg menunya pilihan juga. Kantin sekolah jadi koperasi. Uangnya masuk sana. Ibu kantin happy, murid happy.","1884206066315190692","","mhuseinali","in","","40","9","117","https://x.com/mhuseinali/status/1884206066315190692","177760518","mhuseinali"
"1880443976739876991","Sat Jan 18 02:35:55 +0000 2025","1302","Makan Bergizi Gratis ❌ Mari Bersyukur Ges ✅ #IndonesiaEmas2045Hijriah","1880443976739876991","","","in","","3","20","583","https://x.com/kemgelapan/status/1880443976739876991","1772124227463979008","kemgelapan"
"1884479706189422961","Wed Jan 29 05:52:28 +0000 2025","0","Mari Sukseskan Program Makan Bergizi Gratis https://t.co/3MvImwF9Vb","1884479706189422961","https://pbs.twimg.com/media/GicETRSaYAAGMoe.jpg","","in","","0","0","0","https://x.com/allegory1318/status/1884479706189422961","1549650487573524481","allegory1318"
"1880070746317398224","Fri Jan 17 01:52:50 +0000 2025","413","Anggota Komisi IX DPR RI Irma Suryani mengusulkan agar pembiayaan implementasi Program Makan Bergizi Gratis (MBG) didanai oleh cukai rokok. https://t.co/eQ0gAQ0LqS","1880070746317398224","","","in","","81","579","79","https://x.com/antaranews/status/1880070746317398224","18071520","antaranews"
"1883130687475306532","Sat Jan 25 12:31:57 +0000 2025","216","Kepala Badan Gizi Nasionaal: Serangga Bisa Jadi Menu Makan Bergizi Gratis
https://t.co/IgPIEI4vQe","1883130687475306532","","","in","","48","288","78","https://x.com/geloraco/status/1883130687475306532","3319260420","geloraco"
"1879540711395414191","Wed Jan 15 14:52:01 +0000 2025","2204","@kegblgnunfaedh Ni gimana sih? yang ngotot MSG (makan siang gratis) dia, yang suruh nalangin rakyat? Budget 10k sok-sok an MSG an, noh benerin dulu kasus korupsi, kagak kelar-kelar karena nggak tegas ke koruptor. HUKUM MATI KORUPTOR TITIK. Ngerugiin negara kok dipelihara? goblog emang.","1879542059058761911","","kegblgnunfaedh","in","","4","11","151","https://x.com/HabibiFuad/status/1879542059058761911","1361831815","HabibiFuad"
"1876127805462696292","Mon Jan 06 04:45:00 +0000 2025","235","Budi Arie Tinjau Dapur Makan Bergizi Gratis: Ada Ayam Teriyaki, Baunya Enak
https://t.co/N1MkDDljn9","1876127805462696292","","","in","","49","180","28","https://x.com/tempodotco/status/1876127805462696292","18129942","tempodotco"
"1883056334893170974","Sat Jan 25 07:36:30 +0000 2025","567","Kepala Badan Gizi Nasional Dadan Hindayana mengatakan serangga seperti belalang hingga ulat sagu bisa menjadi bagian dari menu protein untuk program makan bergizi gratis. ~N #Serangga #Protein #MBG
https://t.co/dcLddY2Nwl","1883056334893170974","","","in","","226","699","186","https://x.com/kompascom/status/1883056334893170974","23343960","kompascom"
"1884538267850113217","Wed Jan 29 09:45:10 +0000 2025","0","Program makan bergizi gratis dihadirkan sebagai langkah nyata mengatasi masalah gizi buruk bagi anak-anak https://t.co/0wFNITTIqt","1884538267850113217","https://pbs.twimg.com/media/Gic5kSzWYAA3Bvq.jpg","","in","","0","0","0","https://x.com/ravidnath/status/1884538267850113217","1366085646","ravidnath"
"1884589814319923454","Wed Jan 29 13:10:00 +0000 2025","13","MIRIS! Menu Makan Bergizi Gratis Makin Bikin Geleng-Geleng, Netizen: 'Paket Hemat Sekali'
https://t.co/R8fC9ZEqqH","1884589814319923454","","","in","","1","1","5","https://x.com/democrazymedia/status/1884589814319923454","1243804423001763841","democrazymedia"
